"das_voyage_id","type_of_ship","particulars"
"91370","jacht","Accompanied the HOLLANDIA to Sierra Leone; July 5th a fight with Klaas Kompaan; from 09-07 till 19-07 in Sierra Leone; July 22th wandered from the HOLLANDIA."
"93331","","At Sao Tomé from 18-02 till 26-02-1717. Three seafarers and soldiers ran away."
"94344","","One day after its departure the ship returned to Goeree (07-11-1744); it finally set out on 08-12-1744. From 29-12-1744 till 26-01-1745 the ship called at Duins. The HUIS TE PERSIJN did not call at the Cape, but at False Bay (25-05 till 11-06-1745). During the voyage 4 soldiers became seafarers."
"97111","",""
"95606","",""
"95095","","See the JONKVROUWE KORNELIA JAKOBA (4024) and the BARBARA THEODORA (4041).The GOUVERNEUR-GENERAAL was laid up in the Indies, 31-12-1773."
"95967","jacht","Arrived at Plymouth 22-12-1620 where the English laid embargo on the ship, but it was soon released."
"94426","","09-04-1746 Was the final date of departure of the HUIS TE RENSBURG; on 24-11-1745 it set out for the first time, but on 27-01-1746 it returned. Thirty seafarers had been taken over by the EINDHOEF (see 3346); the first column indicates the final composition of the crew. The ship did not call at the Cape but at False Bay."
"98104","","Aboard the WOITKENSDORP was Johan Albert Sichterman, admiraal of the return fleet. From 27-01 till 01-02-1745 the ship was at anchor off Robben Island."
"98334","","Crew at the Cape: 102."
"93563","","One soldier became a seafarer. Laid up at Batavia in 1731."
"94766","","The LYCOCHTON called at S. Tiago from 01 till 07-02-1758, where one seafarer and 4 soldiers deserted or died, and one soldier came aboard. At Bantam 51 soldiers went ashore. During the voyage two soldiers probably became seafarers."
"91698","","The crew of the VREDE and the MAASTRICHT together at arrival: seafarers, 359; soldiers, 155; deaths during the voyage, 7."
"91740","","See HENRIETTE LOUISE (0622)."
"93576","jacht",""
"94403","fregat",""
"97197","",""
"94669","","The RUITEVELD set out for the first time on 08-10, but three days later it returned. The ship carried among other things f 344,896 in cash."
"94788","","The 2 passengers who went aboard the VRIJBURG at the Cape were criminals; they had been banished to Edam off Batavia for two years."
"94208","","During the voyage one soldier became seafarer."
"98527","","The HUIS OM did not call at the Cape but at False Bay. Crew at False Bay: 106."
"95562","","On 21-08-1786 the VREDENBURG departed from Batavia and sailed to China. See the MEEUWTJE (4477) and the DRAAK (4507)."
"97449","jacht",""
"96429","jacht","Four stowaways discovered."
"97723","fluit","The master died and was succeeded by Abraham Everhard."
"92555","fluit",""
"92685","pinas","According to Coolhaas V, 502, the ZAAMSLAG left the Cape on 08-12-1691. Laid up at Batavia in 1705."
"95925","","From 07-11 till 24-12 at Mauritius; from 05-01 till 12-01 at St. Lucia Bay; from 03-03 till 10-03 in St. Helena."
"97679","",""
"91301","",""
"93579","","One craftsman became a seafarer. Laid up at Batavia in 1733."
"92101","fluit","The 'passengers' who embarked at the Cape, were 6 Portuguese prisoners, 1 female slave and 2 children."
"97581","",""
"99110","","The 12 passengers included one female and two male slaves."
"96924","",""
"91200","jacht","Fleet (0162-0163) under the command of Jan Pietersz. Coen aboard the PROVINCIEN. Total death-toll 14. From 16-06 till 22-06 at Brava I., where 13 man died in action. June 9th at the Gold Coast; September 8th somewhere off the Cape. From 04-11 till 24-11 at Mauritius."
"92175","hoeker","Via Madagascar. Laid up at Ceylon in 1679."
"91495","",""
"91607","",""
"91509","","According to Daghregister 1636, 153, departure 16-02-1636."
"91863","jacht","Via Cape Verde. Attacked by 8 Malabar pirates, the master blew up the ship, 1653; 5 survivors."
"92159","jacht","The ship was wrecked west of the Shetland Islands."
"96084","","Also called NIEUW-ZEELAND."
"92011","","Fleet (0893-0899) under command of Adriaan van Almonde."
"98540","","After the arrival of the ship at Goeree its name was altered into ERFPRINS (3985/7769, etc.)."
"94956","","Some of the persons who went ashore at the Cape were handed over to the law."
"93406","","The master Gillis de Graaf fell ill at the Cape; he was succeeded by Pieter van Duren."
"96889","","Aboard the OOSTERSTEIN was Daniel Henens, commandeur of the return fleet."
"98446","",""
"96217","","Return fleet (5389-5395 except 5391) under command of Joan van Teylingen aboard the DIAMANT. Total number of those on board 762, amongst whom 28 passengers."
"95811","","On 23-06-1794 the BERLICUM sailed from Rammekens to Texel. On 15-02-1796 the ship was confiscated by the English at Ceylon."
"92598","","Wrecked at Temate in 1689. According to Daghregister 1696 sold at Batavia, July 1696."
"93164","",""
"98344","","The VISVLIET did not call at the Cape but at Simon's Bay, a part of False Bay."
"93118","pinas",""
"92593","",""
"91324","fluit",""
"97853","",""
"97713","",""
"91902","galjoot","Stayed at the Cape for service; lost off Madagascar 02-12-1656."
"93674","",""
"96499","","First return fleet (5590-5599) under command of Mattheus van den Broek aboard the HOLLANDSE TUIN (5598), with 1145 men and 29 passengers. At the Cape the fleet of 17-12-1668 joined this fleet."
"92875","","The ship stayed from 19-12-1699 till 26-12-1699 in the Maas."
"93000","",""
"98335","","Crew at the Cape: 99."
"94386","","From 30-05 till 04-06-1757 the VROUWE ELISABETH called at S. Tiago. The ship did not call at the Cape but at Simon's Bay. The 3 passengers who went ashore at Simon's Bay included one ex-soldier who had turned out to be a woman."
"98512","",""
"98934","","The SAINTE THERESE flew the French flag. The ship probably did not call at the Cape. See LA DAME JEANNE (8111). The SAINTE THERESE had sailed on its own account from Lorient in France (departure: 04-11-1783) via the Cape (arrival: 01-03-1784) to Mauritius. There it had officially entered the Company's  service. On 01-07-1784 the ship arrived at Batavia."
"98328","","The six passengers included one female slave and two condemned persons; the criminals disembarked at the Cape."
"92303","","The master died on 04-07-1672; he was succeeded by Marten Binkershoek."
"93971","",""
"97707","","Commandeur of this return fleet was Godfried Bogaard (6882), vice-commandeur was Pieter Obry (6885), schout-bij-nacht was Boudewijn de Graaf (6877). The LAND VAN BELOFTEN returned via the Channel."
"96833","fluit","Acc. to K.A. 4009 the crew consisted of 110 men. The 'passengers' were French prisoners."
"93698","",""
"93760","","From 21-11 till 28-11-1726 back at Texel. At Portsmouth from 05-12 till 19-12-1726."
"91504","","From 22-01 till 16-02-1636 in the Wielingen."
"98647","",""
"91246","jacht","Stayed in the Indies."
"99168","","On 18-05-1795 the MENTOR originally departed from the Cape; two days later the ship had to return because of adverse wind. In June, 1795, the MENTOR was seized by the English off St. Helena and taken to Shannon in Ireland."
"93077","","One of the passengers was Jakob Roggeveen, later explorer of the Pacific (1721-1722)."
"92207","pinas","Via Duins 19-12 till 04-01-1669 and the Canary Islands 24-01 till 26-01-1669."
